Title,Company,Date Posted,Salary,Description,URL
Sales Representative - MS Zalka,Mike Sport,2025-09-11,N/A,"Department:
Retail
Job Status:
Full Timer
Working Hours:
Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.
Location:
Zalka
SCOPE OF THE JOB:
The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.
KEY RESPONSIBILITIES:
Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.
Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.
Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.
Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.
Organize the stockroom related to the store to conserve high level of stock replenishment.
Handle pricing (& Change of prices) process in an effective and accurate manner as required.
Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.
Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.
Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.
Participate in the inventory of products and report the end-of-day inventory status to Store Manager.
Perform other duties that are aligned & related to the job scope.
         JOB REQUIREMENTS:
Education:  High School Degree
Experience:  0 to 1 year of experience in the sales field.
Linguistic Skills: Advanced in English & Arabic, French is a plus.
Computer Skills: Good knowledge in Ms. Office.",https://huntinglebanese.com/en/careers/jobs/show/12940/sales-representative-ms-zalka
Outdoor Sales Person,N/A,2025-09-11,N/A,Able to start immediately min 1 year experience in sales Able to call and meet clients Company Head Office Jbeil Motorized  High Commission + Bonus,https://huntinglebanese.com/en/careers/jobs/show/12938/outdoor-sales-person
Senior Accountant,N/A,2025-09-11,N/A,"Carry out accounting entries and paperwork tasks related to A/R, A/P, Assets and GL transactions efficiently.
Prepares month-end general ledger close journal entries and supporting reconciliations.
The accountant is responsible for the day-to-day activities and various responsibilities within monthly accounting close, reconciliations assist in analysis, and financial reporting activities. Review trial balance and compare to reports, ensure implementing applicable accounting policies and procedures.
  Job Responsibilities: 
A/P
·         Receive and verify invoices and acquisition for goods and services, invoices include (local and international suppliers), examples, insurance, products, service providers and others.
  ·         Verify that transactions comply with financial policies and procedures and contract terms.
  ·         Prepare batches for invoices for data entry and enter invoices for payment (RGRs and match invoices) verify the accuracy of distribution.
  ·         Monitor accounts payable and ensure payments are up to date, process payment transfer request or check payment request.
  ·         Data entry for all payments done to the vendors (checks and transfers)
  ·         Resolve invoice discrepancies, reconcile vendor’s balances at least each month end.
  ·         Correspond with vendors and respond to inquiries, acts as a liaison between related departments and vendors.
  ·         Ensure full accruals during month end and year end closing.
  ·         Always monitor and match the balances between the purchases module and the GL posting accounts. Also match between the inventory module and the GL inventory posting accounts.
  ·         Maintain accounts payable files.
  A/R
  ·         Ensure up to date posting of invoices; follow up with opened invoices on a daily basis.
  ·         Monitor accounts receivable and ensure balances are always up to date.
  ·         Resolve accounts’ discrepancies, reconcile customers’ balances.
  ·         Correspond with customers and respond to inquiries, acts as a liaison between related departments and customers.
  ·         Always monitor and match balances between the sales module and the GL posting accounts.
  ·         Review aging file.
  ·         Make sure that accountant provide management status of dues on & respective collections on Monthly basis.
  ·         Prepare monthly customers specific provision if any.
  ·         Review Monthly bank reconciliation to ensure all entries is updated.
  ·         Approve daily equipment sales invoices
  GL
  ·         Ensure up to date posting of office expenses and other GL transactions.
  ·         Prepare monthly journal entries, accruals and GL account reconciliations including banks, prepaid and accrued expenses, etc.
  ·         Assist in preparation of intercompany transactions and consolidation entries.
  ·         Respond to inquiries, acts as a liaison between related departments.
  ·         Perform duties with attention to details and accuracy. Maintain problem-solving skills.
  ·         Cooperate with auditors of the company till receive stamped financial.
  ·         Manage stock adjustments and stock transfer
  ·         Review control accounts
  TAX
  ·         Guide and answer any questions from External customers about VAT and other type of Tax if needed
  ·         Consult with our Tax consultant for any inquiry and get updating of any type of tax on time to reflect in our books
  ·         Manage online system and submit Tax return for company and make sure the payment done on time
  ·         Maintain Tax filling and make sure it is filling properly
  ·         Advise management on time for any new rules about Tax type (VAT ,…etc )
  Other
  ·         Follow up the due accounts receivable and other debit accounts, report on collections if required.
  ·         Assist credit control when required.
  ·         Assist in Annual stocktaking
  ·         Assist in Guide and help new accountants if needed
  ·         Assist Renewal Insurance policies
  ·         Handle cash.
  ·         Support in admin and government work if required.
  Minimum Qualifications:
  ·         Bachelor’s degree in Commerce, Accounting or any equivalent degree
  ·         Minimum 5-8 years of accounting experience in distribution or trading company
  ·         Previous experience in Accounts Receivable, Accounts Payable and General Ledger entries
  ·         Knowledge in responding to auditors and getting company’s financials stamped
  ·         Knowledge in all local taxes / social security related to the entity and the employees
  Skills
  ·         Proficient in Microsoft Word, Excel, Outlook and PowerPoint
  ·         Experience in ERP systems
  ·         Bilingual (Arabic, and English) is a must
  ·         Effective time management, organization and multi-tasking skills
  ·         Strong written and verbal communication skills
                    5 to 10 years of experience",https://huntinglebanese.com/en/careers/jobs/show/12936/senior-accountant
Accountant,Mike Sport,2025-09-10,N/A,"Department:
Accounting & Finance
Job Status:
Full Timer
Working Hours:
Monday till Friday from 9:00 am till 6:00 pm
Location:
Head Office - Zalka
SCOPE OF THE JOB:
The Accountant is responsible for providing proper book keeping and reconciling the books of account in order to support the effective provision of high quality accounting services across the business.
KEY RESPONSIBILITIES:
Process ledger and booking entries according to stated procedures so that all transactions are recorded in a timely and accurate manner.
Identify, investigate and rectify routine errors and anomalies in input data in order to ensure accuracy of financial information.
Analyze ledgers and accounts to allow the reconciliation of financial data according to stated schedules so that the company remains aware of its financial poison on an ongoing basis and statutory reports can be produced within legislative term limits.
Prepare ledgers and accounts to allow the reconciliation of financial data according to stated schedules so that the company remains aware of its financial position on an ongoing basis and statutory reports can be produced within legislative time limits.
Prepare reports from statistical and financial information according to stated schedules so that all required information is available for review in a timely manner.
Prepare non-routine financial data as requested in order to support management decision-making.
Monitor accounting procedural compliance by subordinates and employees in order to ensure that all systems are adhered to.
Report major problems and areas of non-compliance to the hierarchy in order to ensure that high level of accounting management and control is maintained and that issues resolved in a timely manner.
Respond to all inquiries of internal & external auditors.
Ensure compliance of the company with the tax regulations and laws affecting the business and consult with auditors, in order to be up to date with newly published laws.
Ensure that payments and other accounting/finance procedures are performed in compliance with agreements.
Perform other duties that are aligned & related to the job scope.
JOB REQUIREMENTS:
Education:  Bachelor Degree in Business Administration with emphasis on Accounting.
Experience:  At least 3 to 4 years of experience in a similar Field.
Linguistic Skills: Fluent in English.
Computer Skills: Proficiency in MS Office.",https://huntinglebanese.com/en/careers/jobs/show/12932/accountant
Female Office Sales,N/A,2025-09-08,700,"Good in English
Able to handle phone calls
Living near Jbeil
Able to start immediately
Monday to Friday from 9am till 4pm",https://huntinglebanese.com/en/careers/jobs/show/12928/female-office-sales
Business Development Manager,N/A,2025-09-08,Excellent Package,"Proficiency in MS Office
Strong communication skills
Market knowledge
Excellent organizational skills
Negotiation skills",https://huntinglebanese.com/en/careers/jobs/show/12926/business-development-manager
Sales Advisor,N/A,2025-09-08,N/A,"Approaching customers and offering them advice on products to persuade them to buy
Assisting customers in locating requested store products.
Deal with complaints in a patient and helpful manner
Monitor shelves inventory and unload new products when needed
Maintain a clean and orderly environment in the store
Proven experience working as a sales advisor
Excellent organizational and consultative sales skills.
Effective communication skills.
Exceptional customer service skills.",https://huntinglebanese.com/en/careers/jobs/show/12924/sales-advisor
Warehouse Stock Keeper,N/A,2025-09-08,N/A,"Handles inventory physical count of raw material and finished products
Data entry of stock
Requirements:
2 years of relevant experience in stock control
Bachelor's degree is a plus
Computer literate
Good English communication
Hard worker",https://huntinglebanese.com/en/careers/jobs/show/12922/warehouse-stock-keeper
Stock Controller- Sour,Goldie Trading Company,2025-09-03,N/A,"A retail company is looking for a Stock Controller to join its branch in Sour. 
The ideal candidates are:
- South Residents
- Age +18 years old
- Lebanese
- Computer Literate
- Can start immediately",https://huntinglebanese.com/en/careers/jobs/show/12918/stock-controller-sour
Executive assistant,N/A,2025-09-03,N/A,"Provides high-level administrative support to an executive, managing schedules, coordinating meetings, preparing reports.
Minimum of 5 years of experience as executive assistant
MBA is a plus
Excellent in english",https://huntinglebanese.com/en/careers/jobs/show/12917/executive-assistant
Translator,N/A,2025-09-03,N/A,1. min 2 years of experience 2. BA in Translation 3. Translate english - arabic,https://huntinglebanese.com/en/careers/jobs/show/12915/translator
Chief Accountant,TREX SARL,2025-09-02,N/A,"Position Overview
The Chief Accountant is responsible for overseeing the accounting operations of the organization, ensuring accuracy, compliance, and efficiency in financial reporting. This role leads the accounting team, manages financial processes, and provides strategic financial insights to support decision-making.
Key Responsibilities
Financial Management & Reporting
Supervise and manage the day-to-day accounting operations, including accounts payable, accounts receivable, payroll, and general ledger.
Prepare, review, and ensure timely submission of monthly, quarterly, and annual financial statements.
Maintain compliance with local tax regulations, accounting standards, and statutory requirements.
Coordinate internal and external audits, ensuring proper documentation and adherence to standards.
Budgeting & Forecasting
Assist in developing annual budgets, forecasts, and financial plans.
Monitor budget performance and provide variance analysis with recommendations.
Internal Controls & Compliance
Implement and monitor effective internal control systems to safeguard company assets.
Ensure adherence to IFRS/GAAP or relevant accounting standards.
Stay updated on changes in financial regulations and compliance requirements.
Team Leadership & Development
Lead, mentor, and develop the accounting team to enhance performance and efficiency.
Allocate tasks and ensure adherence to deadlines and quality standards.
Process Improvement
Identify opportunities for process optimization in financial reporting, automation, and cost efficiency.
Collaborate with cross-functional teams to improve business performance through financial insights.
Qualifications & Skills
Bachelor’s degree in Accounting, Finance, or related field (Master’s or MBA preferred).
Professional certification (e.g., CPA, ACCA, CMA, or equivalent) strongly preferred.
Minimum 5 years of progressive chief accounting experience.
Strong knowledge of accounting principles, tax laws, and financial regulations.
Proficiency in accounting software (e.g., SAP, Oracle, QuickBooks, or equivalent) and MS Office Suite.
Excellent analytical, problem-solving, and organizational skills.
Strong leadership, communication, and interpersonal skills.
High level of integrity, accuracy, and attention to detail.",https://huntinglebanese.com/en/careers/jobs/show/12913/chief-accountant
Accountant,Mike Sport,2025-09-02,N/A,"Department:
Accounting & Finance
Job Status:
Full Timer
Working Hours:
Monday till Friday from 9:00 am till 6:00 pm
Location:
Head Office - Zalka
SCOPE OF THE JOB:
The Accountant is responsible for providing proper book keeping and reconciling the books of account in order to support the effective provision of high quality accounting services across the business.
KEY RESPONSIBILITIES:
Process ledger and booking entries according to stated procedures so that all transactions are recorded in a timely and accurate manner.
Identify, investigate and rectify routine errors and anomalies in input data in order to ensure accuracy of financial information.
Analyze ledgers and accounts to allow the reconciliation of financial data according to stated schedules so that the company remains aware of its financial poison on an ongoing basis and statutory reports can be produced within legislative term limits.
Prepare ledgers and accounts to allow the reconciliation of financial data according to stated schedules so that the company remains aware of its financial position on an ongoing basis and statutory reports can be produced within legislative time limits.
Prepare reports from statistical and financial information according to stated schedules so that all required information is available for review in a timely manner.
Prepare non-routine financial data as requested in order to support management decision-making.
Monitor accounting procedural compliance by subordinates and employees in order to ensure that all systems are adhered to.
Report major problems and areas of non-compliance to the hierarchy in order to ensure that high level of accounting management and control is maintained and that issues resolved in a timely manner.
Respond to all inquiries of internal & external auditors.
Ensure compliance of the company with the tax regulations and laws affecting the business and consult with auditors, in order to be up to date with newly published laws.
Ensure that payments and other accounting/finance procedures are performed in compliance with agreements.
Perform other duties that are aligned & related to the job scope.
JOB REQUIREMENTS:
Education:  Bachelor Degree in Business Administration with emphasis on Accounting.
Experience:  At least 3 to 4 years of experience in a similar Field.
Linguistic Skills: Fluent in English.
Computer Skills: Proficiency in MS Office.",https://huntinglebanese.com/en/careers/jobs/show/12912/accountant
Senior Accountant,N/A,2025-09-02,N/A,"Carry out accounting entries and paperwork tasks related to A/R, A/P, Assets and GL transactions efficiently.
Prepares month-end general ledger close journal entries and supporting reconciliations.
The accountant is responsible for the day-to-day activities and various responsibilities within monthly accounting close, reconciliations assist in analysis, and financial reporting activities. Review trial balance and compare to reports, ensure implementing applicable accounting policies and procedures.
  Job Responsibilities: 
A/P
·         Receive and verify invoices and acquisition for goods and services, invoices include (local and international suppliers), examples, insurance, products, service providers and others.
  ·         Verify that transactions comply with financial policies and procedures and contract terms.
  ·         Prepare batches for invoices for data entry and enter invoices for payment (RGRs and match invoices) verify the accuracy of distribution.
  ·         Monitor accounts payable and ensure payments are up to date, process payment transfer request or check payment request.
  ·         Data entry for all payments done to the vendors (checks and transfers)
  ·         Resolve invoice discrepancies, reconcile vendor’s balances at least each month end.
  ·         Correspond with vendors and respond to inquiries, acts as a liaison between related departments and vendors.
  ·         Ensure full accruals during month end and year end closing.
  ·         Always monitor and match the balances between the purchases module and the GL posting accounts. Also match between the inventory module and the GL inventory posting accounts.
  ·         Maintain accounts payable files.
  A/R
  ·         Ensure up to date posting of invoices; follow up with opened invoices on a daily basis.
  ·         Monitor accounts receivable and ensure balances are always up to date.
  ·         Resolve accounts’ discrepancies, reconcile customers’ balances.
  ·         Correspond with customers and respond to inquiries, acts as a liaison between related departments and customers.
  ·         Always monitor and match balances between the sales module and the GL posting accounts.
  ·         Review aging file.
  ·         Make sure that accountant provide management status of dues on & respective collections on Monthly basis.
  ·         Prepare monthly customers specific provision if any.
  ·         Review Monthly bank reconciliation to ensure all entries is updated.
  ·         Approve daily equipment sales invoices
  GL
  ·         Ensure up to date posting of office expenses and other GL transactions.
  ·         Prepare monthly journal entries, accruals and GL account reconciliations including banks, prepaid and accrued expenses, etc.
  ·         Assist in preparation of intercompany transactions and consolidation entries.
  ·         Respond to inquiries, acts as a liaison between related departments.
  ·         Perform duties with attention to details and accuracy. Maintain problem-solving skills.
  ·         Cooperate with auditors of the company till receive stamped financial.
  ·         Manage stock adjustments and stock transfer
  ·         Review control accounts
  TAX
  ·         Guide and answer any questions from External customers about VAT and other type of Tax if needed
  ·         Consult with our Tax consultant for any inquiry and get updating of any type of tax on time to reflect in our books
  ·         Manage online system and submit Tax return for company and make sure the payment done on time
  ·         Maintain Tax filling and make sure it is filling properly
  ·         Advise management on time for any new rules about Tax type (VAT ,…etc )
  Other
  ·         Follow up the due accounts receivable and other debit accounts, report on collections if required.
  ·         Assist credit control when required.
  ·         Assist in Annual stocktaking
  ·         Assist in Guide and help new accountants if needed
  ·         Assist Renewal Insurance policies
  ·         Handle cash.
  ·         Support in admin and government work if required.
  Minimum Qualifications:
  ·         Bachelor’s degree in Commerce, Accounting or any equivalent degree
  ·         Minimum 5-8 years of accounting experience in distribution or trading company
  ·         Previous experience in Accounts Receivable, Accounts Payable and General Ledger entries
  ·         Knowledge in responding to auditors and getting company’s financials stamped
  ·         Knowledge in all local taxes / social security related to the entity and the employees
  Skills
  ·         Proficient in Microsoft Word, Excel, Outlook and PowerPoint
  ·         Experience in ERP systems
  ·         Bilingual (Arabic, and English) is a must
  ·         Effective time management, organization and multi-tasking skills
  ·         Strong written and verbal communication skills
                    5 to 10 years of experience",https://huntinglebanese.com/en/careers/jobs/show/12911/senior-accountant
Invoicing Officer,N/A,2025-09-01,Excellent Package,Invoicing Officer is required for a company in Jounieh,https://huntinglebanese.com/en/careers/jobs/show/12908/invoicing-officer
Junior Accountant,N/A,2025-09-01,N/A,"Female Accountant is needed for a company in Sin El Fil, good knowledge of PIMS software, min 1 year of experience",https://huntinglebanese.com/en/careers/jobs/show/12906/junior-accountant
Customer Care Assistant (Remote),N/A,2025-09-01,Negotiable,"Excellent Communication skills,
minimum 1 year of experience in Customer Service
Able to start immediately",https://huntinglebanese.com/en/careers/jobs/show/12904/customer-care-assistant-remote
Administrative assistant (Remote Job),N/A,2025-08-28,Negotiable,"Min 1 year of experience as administrative assistant is required
Able to follow up with potential customers
Able to join immediately
Work is remote",https://huntinglebanese.com/en/careers/jobs/show/12899/administrative-assistant-remote-job
HR Officer,Goldie Trading Company,2025-08-27,N/A,"A well-known retail company located in Beirut- Hamra is looking for a passionate HR officer to join its team.
      The ideal candidates are:
Beirut Residents
Lebanese
Bachelor degree in Business Administration or equivalent
0-2 years of experience
Age: Between 22 and 30
Can start immediately",https://huntinglebanese.com/en/careers/jobs/show/12897/hr-officer
CALL CENTER AGENT,N/A,2025-08-27,N/A,"WE ARE HIRING CALL CENTER AGENT FOR A COMPANY IN SIN EL FIL
GOOD COMMUNICATION SKILLS",https://huntinglebanese.com/en/careers/jobs/show/12895/call-center-agent
HR Officer,N/A,2025-08-27,N/A,"we are looking for an HR Officer with 3 to 5 years of experience
HR degree is a must
Excellent command of Excel.",https://huntinglebanese.com/en/careers/jobs/show/12892/hr-officer
Sales Representative - MS Outlet Kaslik,Mike Sport,2025-08-25,N/A,"Department:
Retail
Job Status:
Full Timer
Working Hours:
Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.
Location:
Outlet Kaslik
SCOPE OF THE JOB:
The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.
KEY RESPONSIBILITIES:
Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.
Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.
Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.
Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.
Organize the stockroom related to the store to conserve high level of stock replenishment.
Handle pricing (& Change of prices) process in an effective and accurate manner as required.
Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.
Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.
Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.
Participate in the inventory of products and report the end-of-day inventory status to Store Manager.
Perform other duties that are aligned & related to the job scope.
         JOB REQUIREMENTS:
Education:  High School Degree
Experience:  0 to 1 year of experience in the sales field.
Linguistic Skills: Advanced in English & Arabic, French is a plus.
Computer Skills: Good knowledge in Ms. Office.",https://huntinglebanese.com/en/careers/jobs/show/12888/sales-representative-ms-outlet-kaslik
Storekeeper,N/A,2025-08-25,N/A,"The Storekeeper performs duties to support shipping and receiving, deliveries, coordinating stock, documenting warehouse transactions, maintaining records, and overseeing storage of surplus inventory for the factory.
1-     Receive and inspect all incoming materials and reconcile with purchase orders.
2-     Process and distribute documentation with purchase orders.
3-     Report, document and track damages and discrepancies on orders received. 
4-     Maintain records of all deliveries. 
5-     Receive, store, tag and track surplus items.
6-     Stock materials according to a prescribed inventory system.
7-     Maintain the warehouse storage area in a neat and orderly manner. 
8-     Answer questions regarding procedures and resolve discrepancies regarding receipts, deliveries, and warranties.
9-     Maintain accurate manual and computer records of items.
Work Schedule:  7:30 a.m to 5:00 pm
Saturday: 7:30-1

Education: At least 3 years education after highschool.          
Experience: At least 2 years in a similar position.
Competencies:     Organizational/ skills/ multitasking/ time management/ Planning skills/ Interpersonal skills/ Communication skills/ Problem solving skills/ Monitoring and assessment skills/       Accuracy/ detail oriented/ Flexibility/adaptability/ Reliability/ Accountability/ Ability to work independently with minimum day-to-day supervision
Proper and orderly storage and issuance of Materials.",https://huntinglebanese.com/en/careers/jobs/show/12886/storekeeper
CNC Technician,N/A,2025-08-25,N/A,"Prepare and operate CNC machines to perform tasks such as drilling, grinding, milling etc.
Understand specifications of the task at hand and the desired result by reading blueprints, mechanical drawings etc.
Translate instructions into computer commands so the machines can perform the correct function
Prepare and load raw materials and parts onto the machines
Prepare a test run to check if the machines produce outputs according to specifications
Set machines to complete full cycles to fabricate large number of parts
Supervise the machines while they execute the tasks and make any necessary adjustments to produce a better result
Inspect and measure finished products and compare them with requirements to determine if the process has been completed properly
Check and maintain machinery daily to ensure functionality
Work Schedule:  7:15 a.m to 4:30 pm
Saturday: 7:15 to 1 
Competencies:     
Problem solving skills
Reliability
Accountability
High level of accuracy
Ability to follow instructions closely",https://huntinglebanese.com/en/careers/jobs/show/12884/cnc-technician
Production Engineer,N/A,2025-08-25,N/A,"The production engineer is expected to work with technicians to develop, install, procure and maintain the equipment used in the manufacturing process.
Responsibilities
Installing and maintaining new equipment
Doing quality checks
Providing the team with technical support and training
Drafting manufacturing documentation
Preparing production schedule
Preparing cut to size production sheets 
Coordinating with project engineers to meet deadlines
Analysing data, charts and graphs and other forms of measuring information Receive and inspect all incoming materials  Report, document and track damages and discrepancies on received orders
Any job related activity requested by administration
Work Schedule:  7:30 a.m to 5:00 pm
Saturdays: Every other Saturday 7:30-1:00 

Experience Experience with Orga data or Tech Design is needed 

Education: Bachelor Degree in Industrial/Mechanical Engineering 
Experience (MUST): At least 2 years in a similar position/ experience in aluminum/ metals 
Competencies:

Familiar with related production software
Organizational skills/multitasking/time management
Planning skills
Interpersonal skills
Communication skills
Problem solving skills
Monitoring and assessment skills
Accuracy/detail oriented
Flexibility/adaptability
Reliability
Accountability
Critical thinking to make proper recommendations and decisions
Strong technical skills in design and construction
Ability to work independently with minimum day-to-day supervision
Ability to work under pressure
Ability to coordinate, facilitate and participate in a collaborative approach to the completion of tasks or assignments",https://huntinglebanese.com/en/careers/jobs/show/12882/production-engineer
Tender Engineer,N/A,2025-08-25,N/A,"The Tendering Engineer is involved in the preparation of sales tenders and quotations. S/he needs to understand, interpret, and respond to complex technical specifications and documentation. S/he needs to liaise with the other departments to coordinate all aspects of the bid preparation process.
Duties and Responsibilities
Prepare technical and commercial tenders.
Prepare estimates using the customer’s specifications.
Use the company’s electronic estimating tools and resources to produce cost sheets.
Liaise with relevant suppliers when necessary.
Obtain necessary approvals.
Act as the company’s internal contact point for the customer during the inquiry and bidding processes.
Respond to customer questions and requests in a timely and efficient manner.
Maintain and develop the cost of a project, customers and supplier databases, pricelists, and libraries.
Liaise between departments in order to prepare accurate estimates.
Prepare and submit formal quotation documents to customer in a timely manner.
Attend off-site meetings/ surveys with customer as required.
Job Requirements
Work Schedule:  7:30 a.m to 5:00 pm
Every other Saturday 7:30-1
May include reporting to work after hours
Education:           BS in Mechanical or Civil Engineering
Experience:         At least 2 years in a similar position
Background of tendering and proposal preparation for high value projects
Competencies:   
Organizational skills/multitasking/time management
Planning skills
Interpersonal skills
Communication skills
Problem solving skills
Accuracy/detail oriented
Flexibility/adaptability
Reliability
Computer literacy
Accountability
Highly responsive to customer requirements",https://huntinglebanese.com/en/careers/jobs/show/12880/tender-engineer
Architect,N/A,2025-08-25,N/A,"The architect works to develop sketches, drafts, and designs. S/he uses various design tools, equipment, and computer applications to produce their designs after consulting the related departments.
Duties:
Prepare, revise, and coordinate architectural drawings and construction documents.
Prepare graphic exhibits; render and coordinate with consultants.
Prepare architectural plans using AutoCAD.
Develop conceptual sketches into good for construction drawings.
Supervise the preparation of construction drawings by studying architectural drawings, specifications, and supporting documents.
Check team members’ shop drawings and create redlines for correction.
Resolve discrepancies by collecting information and propose solutions.
Maintain shop drawings log by entering data and completing backups.
Fully understand the project details and requirements, by being fully aware of the drawings and specifications.
Review plans prepared by subcontractors.
Produce shop drawings after coordination between all parties.
Work closely with the project manager.
Coordinate and cooperate with colleagues and other departments.
Implement the instructions of superiors.
Communicate with other parties and professionals.
Work Schedule:  7 :30 a.m to 5:00 pm
Every other Saturday 7 :30-1
May include reporting to work after hours
Education:          Bachelor Degree in Architecture
Experience:         At least 2 years in a similar position
Competencies:     
Organizational skills/multitasking/time management
Planning skills
Interpersonal skills
Communication skills
Problem solving skills
Accuracy/detail oriented
Flexibility/adaptability
Reliability
Accountability
Critical thinking to make proper recommendations and decisions
Ability to work independently with minimum day-to-day supervision
Ability to work under pressure
Ability to coordinate, facilitate and participate in a collaborative approach to the completion of tasks or assignments
Proficiency in AutoCAD",https://huntinglebanese.com/en/careers/jobs/show/12878/architect
Accountant,N/A,2025-08-25,N/A,"The Accountant is responsible for maintaining and reconciling all payable account and issues payment vouchers. S/He is responsible for the preparation of the monthly payroll for the company employees.
S/he is involved in the preparation of periodical governmental employment related reports.
S/he handles information in strict confidentiality.
Responsibilities:
    Handle all suppliers’ accounts by processing and settling statements.
    Prepare, post payments, and process bank transfers.
    Process letters for bank transfers and files the appropriate documents.
    Prepare financial reports such as profit and loss statement.
    Prepare budget (project cash) for each project with follow-up and updating at each deviation.
    Prepare cash-flow projection by determining daily, weekly, and monthly cash needs to meet the company’s expenditures. 
    Issue checks and reconciles petty cash.
    Ensure that all payment entries are filed with supporting documents.
    Maintain and reconcile all employees accounts. 
    Match vendor invoices against purchase orders in a timely manner as when submitted by suppliers.
    Coordinate with the sales department and set up new customer accounts on the system.
    Ensure all the bills are paid properly.
    Manage the payroll module by ensuring all data and information is current and complete.
    Prepare monthy income statements and balance sheet. 
    Collaborate with the Project engineer/ Project manager for monthly statements and dues to meet and cover each project expenses.
    Prepare monthly & quarterly social security and income tax payments reports.
    Prepare quarterly VAT.
    Maintain cost enter data entry (project by project) including transportation, engineering, administration, labor…
    Maintain confidentiality of all payroll and data information.
Work Schedule:  7:30 a.m to 5:00 
Every other Saturday 7:30 to 1:00
Education:           BA in Business or related field
Experience:         At least 2 years in accounting and payroll processing",https://huntinglebanese.com/en/careers/jobs/show/12876/accountant
Sales account manager,Globalcom Lebanon SAL,2025-08-25,Negotiable,"Position Overview
  We are seeking a dynamic and motivated Sales Account Manager to oversee and develop sales within our retail channel. The ideal candidate will manage relationships with both organized retail partners and individual shops, driving growth and ensuring high product visibility and availability.
  ⸻
  Key Responsibilities
                •             Manage a portfolio of retail accounts (organized and independent), ensuring targets are met and exceeded.
                •             Conduct regular field visits to clients for relationship management, order collection, merchandising support, and sales growth.
                •             Introduce and promote new products to clients and ensure proper placement and visibility.
                •             Analyze sales data, market trends, and competitor activity to identify business opportunities.
                •             Prepare and present weekly sales reports and forecasts.
                •             Follow up on receivables and ensure timely collection.
                •             Collaborate with internal teams to ensure proper stock availability, pricing strategies, and client support.
                •             Represent the company professionally at all times.
  ⸻
  Requirements
                •             Minimum 2 years of experience in sales or account management, preferably in the consumer electronics or accessories field.
                •             Strong knowledge of mobile phone, computer, gaming, and camera accessories.
                •             Excellent communication and interpersonal skills.
                •             Proficient in Microsoft Office (Excel, Word, Outlook) and general use of Windows-based systems.
                •             Strong organizational and reporting skills.
                •             Must own a car and be willing to travel across regions.
                •             Ability to work independently and under pressure to meet sales targets.
                •             Fluent in Arabic, with good command of English or French",https://huntinglebanese.com/en/careers/jobs/show/12874/sales-account-manager
