title,link,country,name,description,category,employment_type,job_type,date_posted,salary
Sales Representative - Sneak Freak ABC Ashrafieh,https://huntinglebanese.com//en/careers/jobs/show/12852/sales-representative-sneak-freak-abc-ashrafieh,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:Sneak Freak ABC AshrafiehSCOPE OF THE JOB:The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.KEY RESPONSIBILITIES:Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.Organize the stockroom related to the store to conserve high level of stock replenishment.Handle pricing (& Change of prices) process in an effective and accurate manner as required.Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the sales field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Good knowledge in Ms. Office. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Sneak Freak ABC Ashrafieh SCOPE OF THE JOB: The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-08-19,
Sales Representative - MS Zalka,https://huntinglebanese.com//en/careers/jobs/show/12850/sales-representative-ms-zalka,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:ZalkaSCOPE OF THE JOB:The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.KEY RESPONSIBILITIES:Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.Organize the stockroom related to the store to conserve high level of stock replenishment.Handle pricing (& Change of prices) process in an effective and accurate manner as required.Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the sales field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Good knowledge in Ms. Office. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Zalka SCOPE OF THE JOB: The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-08-19,
Sales Representative - MS Metro,https://huntinglebanese.com//en/careers/jobs/show/12848/sales-representative-ms-metro,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:MetroSCOPE OF THE JOB:The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.KEY RESPONSIBILITIES:Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.Organize the stockroom related to the store to conserve high level of stock replenishment.Handle pricing (& Change of prices) process in an effective and accurate manner as required.Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the sales field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Good knowledge in Ms. Office. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Metro SCOPE OF THE JOB: The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-08-19,
Sales Representative - MS Tripoli,https://huntinglebanese.com//en/careers/jobs/show/12846/sales-representative-ms-tripoli,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:TripoliSCOPE OF THE JOB:The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.KEY RESPONSIBILITIES:Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.Organize the stockroom related to the store to conserve high level of stock replenishment.Handle pricing (& Change of prices) process in an effective and accurate manner as required.Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the sales field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Good knowledge in Ms. Office. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Tripoli SCOPE OF THE JOB: The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-08-19,
Junior Visual Merchandiser,https://huntinglebanese.com//en/careers/jobs/show/12826/junior-visual-merchandiser,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Monday till Saturday from 9:00 am till 6:00 pm, and rotation applies on Saturdays.Location:Head Office – ZalkaSCOPE OF THE JOB:The Junior Visual Merchandiser is responsible for implementing proper Shop's displays according to Mike Sport Visual Merchandising guidelines, the stores' image and season’s theme.KEY RESPONSIBILITIES:Visual Design & Creative Development:Collaborate with the Head of Department to create seasonal displays, promotional setups & store layouts that align with marketing initiatives.Support with floor layout changes and stock positioning to optimize space and product visibility.Monitor store appearance regularly, ensuring tidiness, proper lighting, and appealing product presentation.Assist in designing store layouts, planning lighting arrangements, and selecting themes, colors, and danglers as needed for visual merchandising projects.Support the implementation of Visual Merchandising standards across all stores, ensuring consistency & adherence to brand guidelines.Conduct regular store visits to evaluate visual presentations, providing feedback & recommendations for improvement.Help manage inventory of Visual merchandising materials & supplies, ensuring all stores are adequately stocked & equipped.Contribute to brainstorming sessions for new display concepts & promotional events.Visual Strategy:Assist in the development & execution of visual merchandising strategies that enhance product presentation & elevate the Customer shopping experience.Ensure appealing product displays and window merchandising to drive sales and increase foot traffic.Ensure that all visual merchandising displays reflect the brand identity and visual standards.Keep an eye on the latest VM trends to bring fresh ideas into store displays.Reporting:Provide the Head of Department with a daily briefing (images, pictures) of completed projects for documentation or ReportsPerform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:  High School Degree/Bachelor's in Marketing or ArtsExperience:  0-1 year of experience in Retail field.Linguistic Skills: Moderate in written & spoken English & Arabic, French is a plus. Department: Retail Job Status: Full Timer Working Hours: Monday till Saturday from 9:00 am till 6:00 pm, and rotation applies on Saturdays. Location: Head Office – Zalka SCOPE OF THE JOB: The Junior Visual Merchandiser is responsible for implementing proper Shop's displays according to Mike Sport Visual Merchandising guidelines, the stores' image and season’s theme. KEY RESPONSIBILITIES: Visual Design & Creative Development: Visual Strategy: Reporting: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-08-13,
Stock Officer,https://huntinglebanese.com//en/careers/jobs/show/12821/stock-officer,Lebanon,Goldie Trading Company,A retail company is looking for a “Stock Officer” to join its office in Hamra- BeirutDuties:- Refill merchandise between Warehouse and Branches.- Distribute new codes- Purchase Orders- Item tracingRequirements:- Beirut Resident- University Graduate- Computer Literacy A retail company is looking for a “Stock Officer” to join its office in Hamra- Beirut Duties: - Refill merchandise between Warehouse and Branches. - Distribute new codes - Purchase Orders - Item tracing Requirements: - Beirut Resident - University Graduate - Computer Literacy,Administration,Employee,Full Time,2025-08-11,
Social Media Specialist,https://huntinglebanese.com//en/careers/jobs/show/12820/social-media-specialist,Lebanon,Goldie Trading Company,"The Social Media Specialist is responsible for managing the company’s online presence across various social media platforms. This role  bridges marketing and operations by promoting products effectively and making sure inventory aligns with demand and marketing efforts.Key Responsibilities:Develop and execute social media content calendars (Instagram, Facebook, TikTok, etc.).Create engaging content (graphics, captions, videos) aligned with brand voice.Monitor, analyze, and report on social media metrics and campaign performance.Respond to comments, messages, and engage with followers to grow community.Coordinate digital promotions, product launches, and influencer collaborations.Support email marketing campaigns and basic website updates if needed.Qualifications:Bachelor’s degree in Marketing, Business Administration, or related field.1–3 years of experience in digital marketing and/or inventory management.Familiarity with social media platformsGood analytical skills and attention to detail.Strong communication and organizational skills.Proficient in English The Social Media Specialist is responsible for managing the company’s online presence across various social media platforms. This role  bridges marketing and operations by promoting products effectively and making sure inventory aligns with demand and marketing efforts. Key Responsibilities: Develop and execute social media content calendars (Instagram, Facebook, TikTok, etc.). Create engaging content (graphics, captions, videos) aligned with brand voice. Monitor, analyze, and report on social media metrics and campaign performance. Respond to comments, messages, and engage with followers to grow community. Coordinate digital promotions, product launches, and influencer collaborations. Support email marketing campaigns and basic website updates if needed. Qualifications: Bachelor’s degree in Marketing, Business Administration, or related field. 1–3 years of experience in digital marketing and/or inventory management. Familiarity with social media platforms Good analytical skills and attention to detail. Strong communication and organizational skills. Proficient in English",Marketing,Employee,Full Time,2025-08-11,
سائق,https://huntinglebanese.com//en/careers/jobs/show/12819/%D8%B3%D8%A7%D8%A6%D9%82,Lebanon,Goldie Trading Company,"تعلن شركة رائدة في مجال بيع الملابس عن رغبتها في توظيفسائقبدوام كامل، وذلك للقيام بمهام التوصيل والنقل بين فروع الشركة.الشروط المطلوبة:رخصة قيادة سارية المفعولالعمربين 30 و 50 سنةمن سكان بيروت و ضواحيهالبناني الجنسيةللمهتمين الرجاء ارسال السيرة الذاتية او المعلومات الشخصية (الاسم, العمر, مكان السكن, صورة عن رخصة القيادة) عبر: تعلن شركة رائدة في مجال بيع الملابس عن رغبتها في توظيفسائقبدوام كامل، وذلك للقيام بمهام التوصيل والنقل بين فروع الشركة. الشروط المطلوبة: للمهتمين الرجاء ارسال السيرة الذاتية او المعلومات الشخصية (الاسم, العمر, مكان السكن, صورة عن رخصة القيادة) عبر:",Other,Employee,Full Time,2025-08-11,
Social Media Specialist,https://huntinglebanese.com//en/careers/jobs/show/12816/social-media-specialist,Lebanon,Mike Sport,"Department:MarketingJob Status:Full TimerWorking Hours:Monday till Friday from 9:00 am till 6:00 pm – Attend Events even on weekendsLocation:Head Office - ZalkaSCOPE OF THE JOB:The Social Media Specialist is responsible for managing and enhancing our social media channels, with a focus on content creation. This role requires a creative individual who can develop engaging content, analyze performance metrics, and collaborate with various teams to support our brand’s objectives.KEY RESPONSIBILITIESContent Creation and Editing:Develop, write, and edit engaging content for various social media platforms including Facebook, Instagram and LinkedInCreate visually appealing graphics, videos, and other multimedia content that aligns with our brand’s voice and marketing objectives.Maintain consistency in tone, style, and quality across all content.Social Media Management:Plan and schedule posts across multiple social media platforms to ensure timely and effective content delivery.Monitor social media channels for comments, messages, and engagement, and respond appropriately to build relationships with our audience.Strategy and Analytics:Assist in developing social media strategies that align with marketing goals and objectives.Analyze performance metrics and generate reports to track the effectiveness of social media campaigns and content.Utilize insights to optimize future content and strategies.Collaboration:Work closely with the marketing team to align social media efforts with overall marketing campaigns and initiatives.Collaborate with other departments to gather content ideas and ensure brand consistency across all channels.Trend Monitoring:Stay up-to-date with the latest social media trends, tools, and best practices to keep our content relevant and innovative.Experiment with new approaches and techniques to improve engagement and reach.Perform other duties that are aligned & related to the job scope.Desired Skills:Ability to work independently as well as part of a team in a fast-paced environment.Creative thinking and problem-solving skills with a passion for social media and digital marketing.Proficiency with graphic design and video editing tools (e.g., Adobe Creative Suite, Canva, etc.) Love and knowledge about different sports and sports events is preferred.JOB REQUIREMENTS:Education:Bachelor Degree in Marketing, Communications, Journalism, or a related field.Experience:2 to 3 years of proven experience in Social Media management including Facebook, Instagram, Twitter, LinkedIn, and TikTok., content creation, and editing.Linguistic Skills:Fluency in English, French is a plus.Computer Skills:Experience with social media analytics tools. Department: Marketing Job Status: Full Timer Working Hours: Monday till Friday from 9:00 am till 6:00 pm – Attend Events even on weekends Location: Head Office - Zalka SCOPE OF THE JOB: The Social Media Specialist is responsible for managing and enhancing our social media channels, with a focus on content creation. This role requires a creative individual who can develop engaging content, analyze performance metrics, and collaborate with various teams to support our brand’s objectives. KEY RESPONSIBILITIES Content Creation and Editing: Social Media Management: Strategy and Analytics: Collaboration: Trend Monitoring: Perform other duties that are aligned & related to the job scope. Desired Skills: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-08-07,
Assistant Accountant,https://huntinglebanese.com//en/careers/jobs/show/12814/assistant-accountant,Lebanon,Ream Trading SAL,"Our company is currently seeking a dedicated and skilled junior accountant with a minimum of three years of professional experience to join our dynamic team.If you have a strong foundation in accounting principles, a keen eye for detail, and a passion for accuracy, we encourage you to apply for this exciting opportunity.We look forward to welcoming a new member to our team who can help us maintain our commitment for financial excellence.Job location: DekwanehMon – Friday: 7:00 till 4:30 p.m. Our company is currently seeking a dedicated and skilled junior accountant with a minimum of three years of professional experience to join our dynamic team. If you have a strong foundation in accounting principles, a keen eye for detail, and a passion for accuracy, we encourage you to apply for this exciting opportunity. We look forward to welcoming a new member to our team who can help us maintain our commitment for financial excellence. Job location: Dekwaneh Mon – Friday: 7:00 till 4:30 p.m.",Accounting / Finance,Employee,Full Time,2025-08-06,
Customer Service Representative,https://huntinglebanese.com//en/careers/jobs/show/12812/customer-service-representative,Lebanon,Ream Trading SAL,"Our company is currently seeking a customer service representative.Tasks include: customer greeting, order taking, processing and filing.College degree needed.Past experience of 2 to 3 years in related field is required.Graphic Design knowledge is a plus.Working hours: Monday till Friday from 7:00 AM till 4:30 PMLocation: Dekwaneh Our company is currently seeking a customer service representative. Tasks include: customer greeting, order taking, processing and filing. College degree needed. Past experience of 2 to 3 years in related field is required. Graphic Design knowledge is a plus. Working hours: Monday till Friday from 7:00 AM till 4:30 PM Location: Dekwaneh",Customer Service,Employee,Full Time,2025-08-06,
SALES REPRESENTATIVE,https://huntinglebanese.com//en/careers/jobs/show/12802/sales-representative,Lebanon,Sara Food Group S.A.L,"An international food company is looking for a skilled and motivated Sales Representative to strengthen our presence in Africa.Location Lebanon(applicants must be currently based in Lebanon)Experience: Minimum 3 years in sales(experience in the food industry and African markets is a plus)Language: fluent in English(spoken and written)Key Responsibilities:-Identify and pursue new business opportunities in the region.-Meet and exceed sales target-Coordinate with internal teams to ensure smooth logistics and delivery-Monitor market trends and competitor activities in AfricaRequirements:-Minimum 3 years of proven sales experience-Strong understanding of international trade and African markets-Excellent communication,negotiation,and follow up skills-Self motivated,organized,and result-driven An international food company is looking for a skilled and motivated Sales Representative to strengthen our presence in Africa. Location Lebanon(applicants must be currently based in Lebanon) Experience: Minimum 3 years in sales(experience in the food industry and African markets is a plus) Language: fluent in English(spoken and written) Key Responsibilities: -Identify and pursue new business opportunities in the region. -Meet and exceed sales target -Coordinate with internal teams to ensure smooth logistics and delivery -Monitor market trends and competitor activities in Africa Requirements: -Minimum 3 years of proven sales experience -Strong understanding of international trade and African markets -Excellent communication,negotiation,and follow up skills -Self motivated,organized,and result-driven",Sales,Employee,Full Time,2025-08-05,
Sales account manager,https://huntinglebanese.com//en/careers/jobs/show/12792/sales-account-manager,Lebanon,Globalcom Lebanon SAL,"Position OverviewWe are seeking a dynamic and motivated Sales Account Manager to oversee and develop sales within our retail channel. The ideal candidate will manage relationships with both organized retail partners and individual shops, driving growth and ensuring high product visibility and availability.⸻Key Responsibilities•             Manage a portfolio of retail accounts (organized and independent), ensuring targets are met and exceeded.•             Conduct regular field visits to clients for relationship management, order collection, merchandising support, and sales growth.•             Introduce and promote new products to clients and ensure proper placement and visibility.•             Analyze sales data, market trends, and competitor activity to identify business opportunities.•             Prepare and present weekly sales reports and forecasts.•             Follow up on receivables and ensure timely collection.•             Collaborate with internal teams to ensure proper stock availability, pricing strategies, and client support.•             Represent the company professionally at all times.⸻Requirements•             Minimum 2 years of experience in sales or account management, preferably in the consumer electronics or accessories field.•             Strong knowledge of mobile phone, computer, gaming, and camera accessories.•             Excellent communication and interpersonal skills.•             Proficient in Microsoft Office (Excel, Word, Outlook) and general use of Windows-based systems.•             Strong organizational and reporting skills.•             Must own a car and be willing to travel across regions.•             Ability to work independently and under pressure to meet sales targets.•             Fluent in Arabic, with good command of English or French Position Overview We are seeking a dynamic and motivated Sales Account Manager to oversee and develop sales within our retail channel. The ideal candidate will manage relationships with both organized retail partners and individual shops, driving growth and ensuring high product visibility and availability. ⸻ Key Responsibilities •             Manage a portfolio of retail accounts (organized and independent), ensuring targets are met and exceeded. •             Conduct regular field visits to clients for relationship management, order collection, merchandising support, and sales growth. •             Introduce and promote new products to clients and ensure proper placement and visibility. •             Analyze sales data, market trends, and competitor activity to identify business opportunities. •             Prepare and present weekly sales reports and forecasts. •             Follow up on receivables and ensure timely collection. •             Collaborate with internal teams to ensure proper stock availability, pricing strategies, and client support. •             Represent the company professionally at all times. ⸻ Requirements •             Minimum 2 years of experience in sales or account management, preferably in the consumer electronics or accessories field. •             Strong knowledge of mobile phone, computer, gaming, and camera accessories. •             Excellent communication and interpersonal skills. •             Proficient in Microsoft Office (Excel, Word, Outlook) and general use of Windows-based systems. •             Strong organizational and reporting skills. •             Must own a car and be willing to travel across regions. •             Ability to work independently and under pressure to meet sales targets. •             Fluent in Arabic, with good command of English or French",Sales,Employee,Full Time,2025-08-04,Negotiable
Junior Back Office Unit Agent,https://huntinglebanese.com//en/careers/jobs/show/12771/junior-back-office-unit-agent,Lebanon,Mike Sport,"Department:Commercial ProcurementJob Status:Full TimerWorking Hours:Monday till Friday from 9:00 am till 6:00 pmLocation:Head Office – ZalkaSCOPE OF THE JOB:The Junior Back Office Unit Agent is responsible for maintaining accurate database records and tracking of all products at Mike Sport.KEY RESPONSIBILITIES:Coordinate closely with buying team in order to set the Price Structure of all received collections.Ensure accurate update of Price Structure Excel sheet, by adding a full description about every single item (Barcode, Gender, Color, Size, Cost, etc…)Perform the item creation process on the system (Navision) in order to be shared with concerned parties.Execute price changes & discounts of items on the system, upon the request of the Manager.Liaise with the logistics team in order to set the Purchase Order before receiving any shipment.Liaise with the E-Commerce team and provide them administrative support to maintain an updated platform, by sharing the price structure of the selected items.Conduct Transfer Orders in coordination with the buying team so that the warehouse department can proceed with the distribution process of goods to our branches.Prepare Sales Orders in coordination with buying team in case of international shipments.Receive defected items list from the warehouse department and report it to the buying team in order to take corrective actions.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:Bachelor's Degree in Business Administration, or documentation.Experience:0 to 1-year experience in data management.Linguistic Skills:Advanced in written & spoken English & Arabic, French is a plus.Computer Skills:Extensive knowledge of Ms. Office. Department: Commercial Procurement Job Status: Full Timer Working Hours: Monday till Friday from 9:00 am till 6:00 pm Location: Head Office – Zalka SCOPE OF THE JOB: The Junior Back Office Unit Agent is responsible for maintaining accurate database records and tracking of all products at Mike Sport. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-07-31,
Sales Representative - MS Tripoli,https://huntinglebanese.com//en/careers/jobs/show/12767/sales-representative-ms-tripoli,Lebanon,Mike Sport,"Department:RetailJob Status:Full TimerWorking Hours:Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays.Location:TripoliSCOPE OF THE JOB:The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results.KEY RESPONSIBILITIES:Greet customers, offer assistance and serve them in order to ensure their needs are answered in a timely manner and in compliance with quality and customer service standards.Provide exceptional customer service by performing up-selling, cross-selling, suggesting alternatives and following up on customers’ requests.Ensure smooth and efficient receiving process of items/shipments, as well as accurate stock keeping preventing security risks and thefts by performing physical and electronic inventory as required, reporting broken alarms, incidents, suspicious activities.Arrange and replenish on a continuous basis the store shelves and ensure that the store floor and shelves are kept clean and tidy at all times in alignment with the store image and coordination standards.Organize the stockroom related to the store to conserve high level of stock replenishment.Handle pricing (& Change of prices) process in an effective and accurate manner as required.Perform a smooth and efficient receiving process of items & shipments, as well as stock keeping preventing security risks and thefts by performing periodical inventories.Perform accurate stock rotation of items (To/From Stores & Warehouse) under the supervision of the manager on duty.Take accurate measurements for any needed alteration, assign price according to set price list (when applicable) and coordinate needed alterations.Participate in the inventory of products and report the end-of-day inventory status to Store Manager.Perform other duties that are aligned & related to the job scope.JOB REQUIREMENTS:Education:High School DegreeExperience:0 to 1 year of experience in the sales field.Linguistic Skills:Advanced in English & Arabic, French is a plus.Computer Skills:Good knowledge in Ms. Office. Department: Retail Job Status: Full Timer Working Hours: Flexibility in working hours is needed as per the Store opening hours, including weekends & holidays. Location: Tripoli SCOPE OF THE JOB: The Sales Representative is responsible for serving customers on the store floor and answering their needs in a timely manner in order to ensure a high level of customer satisfaction and achieve optimum sales results. KEY RESPONSIBILITIES: JOB REQUIREMENTS:",Other,Employee,Full Time,2025-07-29,
Assistant Merchandising Coordinator,https://huntinglebanese.com//en/careers/jobs/show/12760/assistant-merchandising-coordinator,Lebanon,Goldie Trading Company,"The Assistant Merchandising Managerassists the Merchandising Manager to reach higher sale rates, improve the customer service, and improve the refill distribution process, Prepare for sales and events.Duties:- Refill merchandise between Warehouse and Branches.- Distribute new codes- Purchase Orders- Item tracingRequirements:- Beirut Resident- University Graduate/ Undergarduate.- Computer Literacy The Assistant Merchandising Managerassists the Merchandising Manager to reach higher sale rates, improve the customer service, and improve the refill distribution process, Prepare for sales and events. Duties: - Refill merchandise between Warehouse and Branches. - Distribute new codes - Purchase Orders - Item tracing Requirements: - Beirut Resident - University Graduate/ Undergarduate. - Computer Literacy",Administration,Employee,Full Time,2025-07-28,
Section Manager- Beirut,https://huntinglebanese.com//en/careers/jobs/show/12759/section-manager-beirut,Lebanon,Goldie Trading Company,"The Retail Section Manager is responsible for overseeing a specific department or section within a retail store. This role ensures the section meets sales targets, maintains high standards of customer service and merchandising, and that staff are well-trained and motivated. The Section Manager acts as a key link between floor staff and upper management.Qualifications:Bachelor’s degree in Business Administration, Marketing, or related field preferred.2–5 years of experience in a retail sales or supervisory role.Strong leadership and team management skills.Excellent communication and interpersonal skills.Good understanding of retail operations and customer behavior.Ability to work flexible hours, including weekends and holidays.Beirut ResidentLebanese The Retail Section Manager is responsible for overseeing a specific department or section within a retail store. This role ensures the section meets sales targets, maintains high standards of customer service and merchandising, and that staff are well-trained and motivated. The Section Manager acts as a key link between floor staff and upper management. Qualifications:",Administration,Employee,Full Time,2025-07-28,
Digital Marketing & Stock Officer,https://huntinglebanese.com//en/careers/jobs/show/12758/digital-marketing-stock-officer,Lebanon,Goldie Trading Company,"The Digital Marketing & Stock Officer is responsible for managing the company’s online presence across various social media platforms while ensuring accurate and efficient stock control. This dual-role position bridges marketing and operations by promoting products effectively and making sure inventory aligns with demand and marketing efforts.Key Responsibilities:Digital Marketing & Social Media:Develop and execute social media content calendars (Instagram, Facebook, TikTok, etc.).Create engaging content (graphics, captions, videos) aligned with brand voice.Monitor, analyze, and report on social media metrics and campaign performance.Respond to comments, messages, and engage with followers to grow community.Coordinate digital promotions, product launches, and influencer collaborations.Support email marketing campaigns and basic website updates if needed.Stock & Inventory Management:Monitor and maintain accurate stock levels across warehouses, stores, and/or platforms.Conduct regular stock counts and reconcile discrepancies.Track incoming and outgoing inventory using inventory management software.Coordinate with procurement and sales teams to anticipate stock needs.Assist in preparing stock movement reports and forecasting inventory trends.Ensure marketing campaigns are aligned with stock availability.Qualifications:Bachelor’s degree in Marketing, Business Administration, or related field.1–3 years of experience in digital marketing and/or inventory management.Familiarity with social media platformsGood analytical skills and attention to detail.Strong communication and organizational skills.Proficient in English The Digital Marketing & Stock Officer is responsible for managing the company’s online presence across various social media platforms while ensuring accurate and efficient stock control. This dual-role position bridges marketing and operations by promoting products effectively and making sure inventory aligns with demand and marketing efforts. Key Responsibilities: Digital Marketing & Social Media: Stock & Inventory Management: Qualifications:",Marketing,Employee,Full Time,2025-07-28,
